class_name,component_guard_rejections,family,guard_and_no_guard_outputs_identical,input_duplicate_frame_identity_count,maximum_indegree,maximum_outdegree,proposal_cycle_present,protocol,reciprocal_proposal_count,sequence,strict_time_order_violations,temporal_candidate_count,tracker
pedestrian,0,legacy12,True,0,1,1,False,official_detector,6,data30-10,0,1354,bytetrack
pedestrian,0,legacy12,True,0,1,1,False,official_detector,45,data30-10,0,2582,ocsort
pedestrian,0,legacy12,True,0,1,1,False,official_detector,16,data30-10,0,885,deepocsort
van,0,legacy12,True,0,1,1,False,official_detector,6,data30-10,0,96,bytetrack
van,0,legacy12,True,0,0,0,False,official_detector,0,data30-10,0,31,ocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data30-10,0,20,deepocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data30-10,0,0,bytetrack
truck,0,legacy12,True,0,0,0,False,official_detector,0,data30-10,0,0,ocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data30-10,0,0,deepocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data30-10,0,0,bytetrack
bus,0,legacy12,True,0,0,0,False,official_detector,0,data30-10,0,0,ocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data30-10,0,0,deepocsort
tricycle,0,legacy12,True,0,1,1,False,official_detector,6,data30-10,0,58,bytetrack
tricycle,0,legacy12,True,0,1,1,False,official_detector,2,data30-10,0,4,ocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data30-10,0,0,deepocsort
awning-bike,0,legacy12,True,0,1,1,False,official_detector,22,data30-10,0,1330,bytetrack
awning-bike,0,legacy12,True,0,1,1,False,official_detector,16,data30-10,0,393,ocsort
awning-bike,0,legacy12,True,0,1,1,False,official_detector,5,data30-10,0,43,deepocsort
car,0,legacy12,True,0,1,1,False,official_detector,36,data30-2,0,5008,bytetrack
car,0,legacy12,True,0,1,1,False,official_detector,38,data30-2,0,4399,ocsort
car,0,legacy12,True,0,1,1,False,official_detector,6,data30-2,0,482,deepocsort
bike,0,legacy12,True,0,1,1,False,official_detector,13,data30-2,0,253,bytetrack
bike,0,legacy12,True,0,1,1,False,official_detector,5,data30-2,0,144,ocsort
bike,0,legacy12,True,0,1,1,False,official_detector,1,data30-2,0,12,deepocsort
pedestrian,0,legacy12,True,0,1,1,False,official_detector,17,data30-2,0,1092,bytetrack
pedestrian,0,legacy12,True,0,1,1,False,official_detector,15,data30-2,0,972,ocsort
pedestrian,0,legacy12,True,0,1,1,False,official_detector,14,data30-2,0,684,deepocsort
van,0,legacy12,True,0,1,1,False,official_detector,5,data30-2,0,65,bytetrack
van,0,legacy12,True,0,1,1,False,official_detector,4,data30-2,0,35,ocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data30-2,0,3,deepocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data30-2,0,0,bytetrack
truck,0,legacy12,True,0,0,0,False,official_detector,0,data30-2,0,0,ocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data30-2,0,0,deepocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data30-2,0,0,bytetrack
bus,0,legacy12,True,0,0,0,False,official_detector,0,data30-2,0,0,ocsort
