updated_at,scenario,step,status,artifact,note
"2026-06-25T19:23:45+09:00","S1","detector","ok","outputs/evidence/uavmarine_s1_viewer160_session_recapture_detector_smoke_conf001/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-25T19:23:52+09:00","S1","reasoner","started","outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-25T19:23:54+09:00","S1","reasoner","ok","outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_mock/summary.json","Reasoner output generated"
"2026-06-25T19:24:01+09:00","S2","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_session_recapture","viewer160 real Cesium capture"
"2026-06-25T19:24:31+09:00","S2","capture","ok","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_session_recapture/real_cesium_capture_summary.json","real Cesium viewer160 capture complete"
"2026-06-25T19:24:38+09:00","S2","detector","started","outputs/evidence/uavmarine_s2_viewer160_session_recapture_detector_smoke_conf001","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-25T19:24:48+09:00","S2","detector","ok","outputs/evidence/uavmarine_s2_viewer160_session_recapture_detector_smoke_conf001/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-25T19:24:55+09:00","S2","reasoner","started","outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-25T19:24:57+09:00","S2","reasoner","ok","outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_mock/summary.json","Reasoner output generated"
"2026-06-26T00:14:46+09:00","S0","capture","started","/workspace/uav_marinecity/outputs/isaac_exports/uavmarine_s0_viewer160_session_recapture","viewer160 real Cesium capture"
