protocol,family,sequence,class_name,tracker,input_tracklets,fixed_candidate_edges,table4_method,table4_ranking,table4_accepted_edges,d16_method,d16_ranking,d16_accepted_edges,table4_vs_d16_edge_sets_identical,table4_vs_d16_final_partitions_identical,cost_g_method,cost_g_accepted_edges,cost_g_vs_d16_edge_sets_identical,cost_g_vs_d16_final_partitions_identical
official_detector,confirmation38,data24-1,bike,bytetrack,72,30,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",27,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",26,False,False,controlled_cost_greedy,27,False,False
official_detector,confirmation38,data24-1,bike,deepocsort,14,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data24-1,bike,ocsort,26,3,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",3,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",3,True,True,controlled_cost_greedy,3,True,True
official_detector,confirmation38,data24-1,bus,bytetrack,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data24-1,bus,deepocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data24-1,bus,ocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data24-1,car,bytetrack,99,27,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",14,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",14,False,False,controlled_cost_greedy,14,True,True
official_detector,confirmation38,data24-1,car,deepocsort,76,7,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",6,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",6,False,False,controlled_cost_greedy,6,True,True
official_detector,confirmation38,data24-1,car,ocsort,85,6,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",5,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",4,False,False,controlled_cost_greedy,5,False,False
official_detector,confirmation38,data24-1,pedestrian,bytetrack,311,313,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",146,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",128,False,False,controlled_cost_greedy,144,False,False
official_detector,confirmation38,data24-1,pedestrian,deepocsort,233,123,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",69,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",60,False,False,controlled_cost_greedy,69,False,False
official_detector,confirmation38,data24-1,pedestrian,ocsort,70,42,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",27,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",26,False,False,controlled_cost_greedy,27,False,False
official_detector,confirmation38,data24-1,tricycle,bytetrack,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data24-1,tricycle,deepocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data24-1,tricycle,ocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data24-1,truck,bytetrack,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data24-1,truck,deepocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
official_detector,confirmation38,data24-1,truck,ocsort,0,0,geometry_reid_greedy_guard,"cosine_distance,gap,earlier,later; component-overlap guard",0,path_g,"controlled_cost,gap,earlier,later; one predecessor/successor",0,True,True,controlled_cost_greedy,0,True,True
