AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_coverage,accepted_false,accepted_unknown,aggregation,all_box_multisets_preserved,auditable_fraction,conditional_error,duplicate_frame_identity_count,eligible_source_tracklets,method,predicted_boxes,protocol,scope,sequence_count,tie_ambiguous,tie_excluded_correct,tie_excluded_false,tracker,valid_gt_boxes
54.40527697911088,40.926235641215946,105736,0,3875,46.2326515621981,46.13763558814354,3501,39.07371459750779,90458,2457,0.5065916160568804,963,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.28157894736842104,0,6751,cost_g_legacy,90458,oracle_aabb,all_50_sequences,50,186,2402,832,ocsort,196194
54.445377453356286,40.92587822903393,105736,0,3875,46.25781198007123,46.18531957078042,3547,39.110882589738374,90458,2489,0.4954821507924752,856,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.25590433482810165,0,6751,cost_h,90458,oracle_aabb,all_50_sequences,50,188,2430,727,ocsort,196194
54.22325995060422,40.925448472443065,105736,0,3875,46.17283841870001,45.896843634356195,3838,38.913642527486076,90458,2216,0.408087690712487,539,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.1956442831215971,0,6751,cost_h_full_postfilter,90458,oracle_aabb,all_50_sequences,50,132,2174,449,ocsort,196194
54.25428071463725,40.92576493211428,105736,0,3875,46.18160164743342,45.93085772979911,3812,38.92223920306148,90458,2254,0.42601096133906086,622,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.21627260083449235,0,6751,cost_h_full_reassign,90458,oracle_aabb,all_50_sequences,50,143,2208,525,ocsort,196194
54.45193156352653,40.92576493211428,105736,0,3875,46.26294648761056,46.17576786412896,3591,39.08841689380669,90458,2460,0.4728188416530884,732,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.22932330827067668,0,6751,cost_h_margin_reassign,90458,oracle_aabb,all_50_sequences,50,170,2406,616,ocsort,196194
54.49836408259563,40.92587822903393,105736,0,3875,46.27986797191414,46.223316259797066,3547,39.1117678159624,90458,2489,0.49326025773959414,841,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.25255255255255254,0,6751,cost_h_motion_reassign,90458,oracle_aabb,all_50_sequences,50,186,2432,712,ocsort,196194
54.42191509913103,40.92619477141036,105736,0,3875,46.24679403488287,46.14283052567676,3566,39.079892882286934,90458,2463,0.49044585987261147,848,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.2561159770462096,0,6751,cost_h_soft_information,90458,oracle_aabb,all_50_sequences,50,185,2409,717,ocsort,196194
54.19719129036984,40.92576493211428,105736,0,3875,46.1573274757975,45.88269382141451,3828,38.91652681066621,90458,2239,0.4208265442156717,602,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.21189721928898275,0,6751,cost_r,90458,oracle_aabb,all_50_sequences,50,141,2194,506,ocsort,196194
51.43059886705896,40.93712164766655,105736,0,3875,44.91677541362014,42.96378760853252,6119,37.41651413877301,90458,0,0.0,0,0,equal_sequence_mean_metrics_total_counts,True,N/A,N/A,0,6751,no_refinement,90458,oracle_aabb,all_50_sequences,50,0,0,0,ocsort,196194
54.38507663657171,40.92619477141036,105736,0,3875,46.23306419991162,46.092746403194404,3659,39.015415194055976,90458,2398,0.4830395496963413,863,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.2646427476234284,0,6751,path_g,90458,oracle_aabb,all_50_sequences,50,177,2345,739,ocsort,196194
54.257057732636575,40.92576493211428,105736,0,3875,46.18338357557692,45.929391382900846,3817,38.9201321271987,90458,2251,0.42512220411790846,619,0,equal_sequence_mean_metrics_total_counts,True,1.0,0.2156794425087108,0,6751,path_g_full_reassign,90458,oracle_aabb,all_50_sequences,50,144,2206,520,ocsort,196194
